# Units
# dimensionless	code_time	dimensionless	1/code_time	1/code_time	1/code_time
1.040000000000000000e+02	2.045398749672166900e+02	1.428773849779967131e+00	1.002833959251310442e-05	2.401878699852512354e-07	4.278562145595623514e-07
1.050000000000000000e+02	2.068184728833707879e+02	1.444690556081297927e+00	1.051686823900019877e-05	2.552656861388149391e-07	3.918785848371972911e-07
1.060000000000000000e+02	2.090971551588870341e+02	1.460607851658683787e+00	1.063921888834448114e-05	2.628370530086508468e-07	4.125321187309249620e-07
1.070000000000000000e+02	2.113756111510006406e+02	1.476523566577000679e+00	1.141909681432290098e-05	2.782898321966258462e-07	4.833970500788025390e-07
1.080000000000000000e+02	2.136543981428229415e+02	1.492441593629947105e+00	1.140997055703866012e-05	2.961021850137142537e-07	4.960733854042348454e-07
1.090000000000000000e+02	2.159330588560478645e+02	1.508358738588105430e+00	1.238241623226751400e-05	3.239584948173238888e-07	5.459435418921602264e-07
1.100000000000000000e+02	2.182115246669057740e+02	1.524274522093366890e+00	1.278382742671963376e-05	3.547938308096018591e-07	5.726899980826933593e-07
1.110000000000000000e+02	2.204903801089074875e+02	1.540193027291840711e+00	1.335125792067355743e-05	3.413734301834798239e-07	5.829950689145977698e-07
1.120000000000000000e+02	2.227689589432799551e+02	1.556109600301065932e+00	1.408411801456899426e-05	3.479163677177825069e-07	6.128366402675857695e-07
1.130000000000000000e+02	2.250476277443785591e+02	1.572026801755505909e+00	1.459481893121407208e-05	3.699853841911386795e-07	6.968877878348771854e-07
1.140000000000000000e+02	2.273260475081214622e+02	1.587942263607525994e+00	1.512331089772008361e-05	3.992127244123926223e-07	7.808370199169359645e-07
1.150000000000000000e+02	2.296048666252543455e+02	1.603860515065633985e+00	1.572209981147723536e-05	4.340266730496749662e-07	7.615208609732501757e-07
1.160000000000000000e+02	2.318836913260986989e+02	1.619778805527681831e+00	1.628435500157123566e-05	4.987076904213812443e-07	7.526614448638532364e-07
1.170000000000000000e+02	2.341626171094477797e+02	1.635697802082071828e+00	1.655468707771816334e-05	5.196406293325246657e-07	8.034000682245293126e-07
1.180000000000000000e+02	2.364410348787340297e+02	1.651613250002199829e+00	1.719031110759553630e-05	5.339869677914362872e-07	8.548155968654399126e-07
1.190000000000000000e+02	2.387196113815386980e+02	1.667529806724707742e+00	1.767571249056403777e-05	6.206979636279387320e-07	9.064179625104333352e-07
1.200000000000000000e+02	2.409983901619945641e+02	1.683447776418737662e+00	1.810405783651396092e-05	8.527242946562737565e-07	1.000400028191534776e-06
1.210000000000000000e+02	2.432769063753638363e+02	1.699363912001021770e+00	1.892093590167510990e-05	8.443813532131852018e-07	1.129878750398558617e-06
1.220000000000000000e+02	2.455557422679776778e+02	1.715282280641016621e+00	1.914684582345028705e-05	9.694914730319133204e-07	1.498655904977865728e-06
1.230000000000000000e+02	2.478350780715332462e+02	1.731204141312484346e+00	1.913626497801821023e-05	1.455246534515489943e-06	1.685206390697244350e-06
1.240000000000000000e+02	2.498094438790216998e+02	1.744995692891810002e+00	1.895973301836856103e-05	8.114110847778301959e-07	2.190416013511621227e-06
1.250000000000000000e+02	2.520883294760618014e+02	1.760914408732489056e+00	1.975097765863820834e-05	7.983562170565716880e-07	1.831614458686430947e-06
1.260000000000000000e+02	2.543670237943589427e+02	1.776831788432398307e+00	2.131998072116850096e-05	7.854422349777462527e-07	2.697614048061957859e-06
1.270000000000000000e+02	2.566457850008123387e+02	1.792749635366623240e+00	2.493763378402495153e-05	9.647385670295537056e-07	4.121981499275686778e-06
1.280000000000000000e+02	2.589246555094689484e+02	1.808668245810309161e+00	2.684187639328501626e-05	1.652417253250569138e-06	5.899411709562477121e-06
1.290000000000000000e+02	2.612035825900230748e+02	1.824587251426074808e+00	2.786842535961139605e-05	1.958351706743266439e-06	3.554167944016674235e-06
1.300000000000000000e+02	2.634824040998507257e+02	1.840505519597890549e+00	2.638331424916146037e-05	3.025976884785412486e-06	3.212487546820582736e-06
1.310000000000000000e+02	2.657608824344656568e+02	1.856421390585441422e+00	2.618541290735305134e-05	1.893499777693579052e-06	2.995985037171788048e-06
1.320000000000000000e+02	2.680396018512072374e+02	1.872338945605694027e+00	2.654348060841292011e-05	1.974671696649261498e-06	2.746111066021994448e-06
1.330000000000000000e+02	2.703181621091064812e+02	1.888255388852548178e+00	2.703995518530184257e-05	3.904924254917570227e-06	2.677172490737569943e-06
1.340000000000000000e+02	2.725968154007492217e+02	1.904172481968675168e+00	2.434664532850079813e-05	3.243017112722150159e-06	2.701277394779847381e-06
1.350000000000000000e+02	2.748758173743582915e+02	1.920092010735432897e+00	2.702575342294076847e-05	2.649097079460363958e-06	3.394700664334327031e-06
1.360000000000000000e+02	2.771543978191592714e+02	1.936008594993995580e+00	2.446860410426482177e-05	2.677670502576724130e-06	2.833033684532683378e-06
1.370000000000000000e+02	2.794328916990447169e+02	1.951924574570035764e+00	2.372555181323020144e-05	3.481474827649675005e-06	2.775143675559816407e-06
1.380000000000000000e+02	2.817115369270378551e+02	1.967841611359093967e+00	2.420524991021656423e-05	2.193238132163423854e-06	3.083808437207449405e-06
1.390000000000000000e+02	2.839899564952567630e+02	1.983757071845318798e+00	2.317723081935783741e-05	2.574010729430215766e-06	2.914122347548150213e-06
1.400000000000000000e+02	2.862685088634682984e+02	1.999673459980281232e+00	2.329930960189354548e-05	2.153255171698496725e-06	2.815084254521065663e-06
1.410000000000000000e+02	2.885470104019307769e+02	2.015589493053834058e+00	2.585219781224209695e-05	2.163792846923283729e-06	2.883081140925517497e-06
1.420000000000000000e+02	2.908258160736480704e+02	2.031507650591584557e+00	2.697185380593109343e-05	2.501629156351376157e-06	3.251550224804594679e-06
1.430000000000000000e+02	2.931050936394319137e+02	2.047429104454328908e+00	3.084395644341839815e-05	2.451355663883051904e-06	5.418225357726945312e-06
1.440000000000000000e+02	2.953840324690127090e+02	2.063348192140654458e+00	3.348029813317539191e-05	3.178391847243783386e-06	4.209372738341934375e-06
1.450000000000000000e+02	2.976627725309173798e+02	2.079265891373712538e+00	3.225430565208021089e-05	3.493051326747320547e-06	3.738094060322626691e-06
1.460000000000000000e+02	2.999420062879002558e+02	2.095187039218526781e+00	3.072312013948069048e-05	4.957163599368552015e-06	5.568552236431031657e-06
1.470000000000000000e+02	3.022204303882386398e+02	2.111102531362998302e+00	3.188520756437209310e-05	2.658091204094351715e-06	6.023595186988200649e-06
1.480000000000000000e+02	3.044995454440918934e+02	2.127022850043963409e+00	3.337069023748118559e-05	2.775375542564854233e-06	4.846041723610215775e-06
1.490000000000000000e+02	3.067782042894945107e+02	2.142939981954809614e+00	3.535935241161832480e-05	3.797464751393974288e-06	5.210085752190653860e-06
1.500000000000000000e+02	3.090568679957567042e+02	2.158857147820252287e+00	3.399556227773309060e-05	3.551076298082932966e-06	6.755274020342979446e-06
1.510000000000000000e+02	3.113359922280631622e+02	2.174777530601561981e+00	3.703027839010166421e-05	3.373100160369803673e-06	7.119047214628359855e-06
